t(ms) ann hdr prehero root heroImg
258 44 -1 -1 -1 -1
539 44 57 532 823 372
798 44 57 0 8844 0
1051 44 57 0 13766 0
1302 44 57 0 13766 0
1554 44 57 0 13766 0
1807 44 57 0 13766 0
2059 44 57 0 13766 0
2311 44 57 0 13766 0
2562 44 57 0 13766 0
2814 44 57 0 13766 0
3067 44 57 0 13766 0
3321 44 57 0 13766 0
3572 44 57 0 13766 0
3824 44 57 0 13766 0
4076 44 57 0 13886 0
4327 44 57 0 13886 0
4578 44 57 0 13886 0
4830 44 57 0 13886 0
5082 44 57 0 13886 0
5333 44 57 0 13886 0
5587 44 57 0 13886 0
5840 44 57 0 13886 0
6091 44 57 0 13886 0
6344 44 57 0 13886 0
6595 44 57 0 13886 0
6846 44 57 0 13886 0
7098 44 57 0 13886 0
7349 44 57 0 13886 0
7602 44 57 0 13886 0
7853 44 57 0 13886 0
8111 44 57 0 13886 0
8362 44 57 0 13886 0
8614 44 57 0 13886 0
8866 44 57 0 13886 0
9118 44 57 0 13886 0
9370 44 57 0 13886 0
9623 44 57 0 13886 0
9875 44 57 0 13886 0
10127 44 57 0 13886 0
FINAL {"preDisplay":"none","rootKids":11,"heroRect":"412x412"}
