t(ms) ann hdr prehero root heroImg
296 44 -1 -1 -1 -1
681 44 57 0 6188 0
937 44 57 0 13766 0
1189 44 57 0 13766 0
1441 44 57 0 13766 0
1692 44 57 0 13766 0
1944 44 57 0 13766 0
2195 44 57 0 13766 0
2446 44 57 0 13766 0
2697 44 57 0 13766 0
2950 44 57 0 13766 0
3201 44 57 0 13766 0
3453 44 57 0 13766 0
3704 44 57 0 13766 0
3956 44 57 0 13766 0
4207 44 57 0 13886 0
4459 44 57 0 13886 0
4710 44 57 0 13886 0
4962 44 57 0 13886 0
5214 44 57 0 13886 0
5469 44 57 0 13886 0
5725 44 57 0 13886 0
5976 44 57 0 13886 0
6228 44 57 0 13886 0
6480 44 57 0 13886 0
6732 44 57 0 13886 0
6984 44 57 0 13886 0
7235 44 57 0 13886 0
7486 44 57 0 13886 0
7738 44 57 0 13886 0
7990 44 57 0 13886 0
8242 44 57 0 13886 0
8494 44 57 0 13886 0
8746 44 57 0 13886 0
8996 44 57 0 13886 0
9248 44 57 0 13886 0
9500 44 57 0 13886 0
9752 44 57 0 13886 0
10004 44 57 0 13886 0
10256 44 57 0 13886 0
FINAL {"preDisplay":"none","rootKids":11,"heroRect":"412x412"}
